source,RandomForestRegressor,LinearRegression,PolynomialRegression,GradientBoostingRegressor,AdaBoostRegressor,XGBRegressor,MLPRegressor,ElasticNet,KNeighborsRegressor,CatBoostRegressor,LGBMRegressor,SVR
pb,0.035524723194711845,0.044080957310265116,0.04151327061248639,0.03495934013092043,0.03919971817795213,0.03467632106328375,0.04406596955301952,0.04407200365893671,0.038929521244994526,0.03440928863212808,0.03444466478883717,0.04551856442570514
pa,0.6867697313513137,0.8671675264988613,0.7914803816836296,0.6961757286136296,0.8020550804115458,0.6888436975436389,0.8847277099699946,0.8668862080936989,0.76931727597753,0.6753016012294053,0.6760292383828174,1.0448704714938994
ac,0.06206203511404946,0.07194979984904513,0.06973299269381407,0.06163853027606106,0.06960626101347892,0.06152247534344377,0.07196752316282129,0.0719496692405993,0.0699239723934071,0.06067780236596371,0.060635376066846595,0.08679981178890338
ce,0.039919851134749405,0.04352435428388027,0.04200407438306209,0.03956192054052837,0.05691378094301135,0.03890552200765973,0.0437110076596,0.04352155179959573,0.042700827055065844,0.03847473517974697,0.03861607432095997,0.04727508766188021
se,0.051771147331618556,0.06233771195552552,0.05710939322461631,0.05213584419273482,0.05905232302917558,0.05196003934147205,0.08719557188909581,0.06233772761734245,0.057521977358146306,0.051079579200241566,0.0512895523266034,0.06627197279834443
ba,0.4409126082979948,0.5538955156610764,0.5324537854012784,0.45257813778264594,0.5087656031904968,0.44849321180274937,0.5550864652642142,0.5539471577160702,0.4987178406962952,0.4344049489382325,0.43588475990493447,0.6847855142513246
mg,0.6107413209176568,0.640662854472903,0.6127981698974971,0.6040052059834436,0.6345419446666991,0.5881799296390665,0.7226943831445976,0.6406441775414219,0.6105603893001721,0.5659847524169577,0.5762977287648757,0.8036135320934434
go,0.031716410761873884,0.04378937199304088,0.03760148132290995,0.03150598229433693,0.035883157501345506,0.03159289085916696,0.04924197235261042,0.04378691705715817,0.035764778858570816,0.03135281564266183,0.03175619140799512,0.04550030059829917
sc,0.6710579975666084,0.969040379963848,0.8668829039971381,0.7043475952429331,0.7877143729666588,0.7018437334924134,0.8456472651389587,0.9689919284329647,0.7148126143473644,0.6776392506492398,0.6607169727233775,1.1362577521695125
ap,0.050507245214374254,0.05862098683188685,0.05539349895677921,0.05090975685650201,0.06495565015777467,0.05070283346966991,0.06032206375848786,0.058622599262667684,0.05564341518813377,0.049993763896211955,0.049827490600218016,0.06459493856494279
sp,0.7224335383569277,0.9650925211677569,0.8876300003065475,0.7378720134372831,0.9140137596587998,0.7303859923684538,0.9807403172629925,0.9650784360941592,0.7750212657167168,0.7054260619044478,0.7195402132881495,1.139627150742341
ma,0.03858111485300046,0.0482943109329066,0.042048642161076316,0.037967674442301626,0.04222775596763925,0.03764848709794878,0.09239610695564274,0.048292464430614884,0.04217305818662031,0.03664989161755247,0.037293200703842726,0.04975044900544424
df,0.06811941567743769,0.07525222599227134,0.13175537264606466,0.06418412250884935,0.06418508581362721,0.06409584527986327,0.9118376767752845,0.07504840781354603,0.07545270140045407,0.06349865457928609,0.07356092227841358,0.07904154073966312
